,albedo,normal,depth,mask,face,light
0,../data/celeba/synthesized_data/train/10_0_albedo.png,../data/celeba/synthesized_data/train/10_0_normal.png,None,None,../data/celeba/synthesized_data/train/10_0_face.png,../data/celeba/synthesized_data/train/10_0_light.txt
1,../data/celeba/synthesized_data/train/10_1000_albedo.png,../data/celeba/synthesized_data/train/10_1000_normal.png,None,None,../data/celeba/synthesized_data/train/10_1000_face.png,../data/celeba/synthesized_data/train/10_1000_light.txt
2,../data/celeba/synthesized_data/train/10_1001_albedo.png,../data/celeba/synthesized_data/train/10_1001_normal.png,None,None,../data/celeba/synthesized_data/train/10_1001_face.png,../data/celeba/synthesized_data/train/10_1001_light.txt
3,../data/celeba/synthesized_data/train/10_1002_albedo.png,../data/celeba/synthesized_data/train/10_1002_normal.png,None,None,../data/celeba/synthesized_data/train/10_1002_face.png,../data/celeba/synthesized_data/train/10_1002_light.txt
4,../data/celeba/synthesized_data/train/10_1003_albedo.png,../data/celeba/synthesized_data/train/10_1003_normal.png,None,None,../data/celeba/synthesized_data/train/10_1003_face.png,../data/celeba/synthesized_data/train/10_1003_light.txt
5,../data/celeba/synthesized_data/train/10_1004_albedo.png,../data/celeba/synthesized_data/train/10_1004_normal.png,None,None,../data/celeba/synthesized_data/train/10_1004_face.png,../data/celeba/synthesized_data/train/10_1004_light.txt
6,../data/celeba/synthesized_data/train/10_1005_albedo.png,../data/celeba/synthesized_data/train/10_1005_normal.png,None,None,../data/celeba/synthesized_data/train/10_1005_face.png,../data/celeba/synthesized_data/train/10_1005_light.txt
7,../data/celeba/synthesized_data/train/10_1006_albedo.png,../data/celeba/synthesized_data/train/10_1006_normal.png,None,None,../data/celeba/synthesized_data/train/10_1006_face.png,../data/celeba/synthesized_data/train/10_1006_light.txt
8,../data/celeba/synthesized_data/train/10_1007_albedo.png,../data/celeba/synthesized_data/train/10_1007_normal.png,None,None,../data/celeba/synthesized_data/train/10_1007_face.png,../data/celeba/synthesized_data/train/10_1007_light.txt
9,../data/celeba/synthesized_data/train/10_1008_albedo.png,../data/celeba/synthesized_data/train/10_1008_normal.png,None,None,../data/celeba/synthesized_data/train/10_1008_face.png,../data/celeba/synthesized_data/train/10_1008_light.txt
10,../data/celeba/synthesized_data/train/10_1009_albedo.png,../data/celeba/synthesized_data/train/10_1009_normal.png,None,None,../data/celeba/synthesized_data/train/10_1009_face.png,../data/celeba/synthesized_data/train/10_1009_light.txt
11,../data/celeba/synthesized_data/train/10_100_albedo.png,../data/celeba/synthesized_data/train/10_100_normal.png,None,None,../data/celeba/synthesized_data/train/10_100_face.png,../data/celeba/synthesized_data/train/10_100_light.txt
12,../data/celeba/synthesized_data/train/10_1010_albedo.png,../data/celeba/synthesized_data/train/10_1010_normal.png,None,None,../data/celeba/synthesized_data/train/10_1010_face.png,../data/celeba/synthesized_data/train/10_1010_light.txt
13,../data/celeba/synthesized_data/train/10_1011_albedo.png,../data/celeba/synthesized_data/train/10_1011_normal.png,None,None,../data/celeba/synthesized_data/train/10_1011_face.png,../data/celeba/synthesized_data/train/10_1011_light.txt
14,../data/celeba/synthesized_data/train/10_1012_albedo.png,../data/celeba/synthesized_data/train/10_1012_normal.png,None,None,../data/celeba/synthesized_data/train/10_1012_face.png,../data/celeba/synthesized_data/train/10_1012_light.txt
15,../data/celeba/synthesized_data/train/10_1013_albedo.png,../data/celeba/synthesized_data/train/10_1013_normal.png,None,None,../data/celeba/synthesized_data/train/10_1013_face.png,../data/celeba/synthesized_data/train/10_1013_light.txt
16,../data/celeba/synthesized_data/train/10_1014_albedo.png,../data/celeba/synthesized_data/train/10_1014_normal.png,None,None,../data/celeba/synthesized_data/train/10_1014_face.png,../data/celeba/synthesized_data/train/10_1014_light.txt
17,../data/celeba/synthesized_data/train/10_1015_albedo.png,../data/celeba/synthesized_data/train/10_1015_normal.png,None,None,../data/celeba/synthesized_data/train/10_1015_face.png,../data/celeba/synthesized_data/train/10_1015_light.txt
18,../data/celeba/synthesized_data/train/10_1016_albedo.png,../data/celeba/synthesized_data/train/10_1016_normal.png,None,None,../data/celeba/synthesized_data/train/10_1016_face.png,../data/celeba/synthesized_data/train/10_1016_light.txt
19,../data/celeba/synthesized_data/train/10_1017_albedo.png,../data/celeba/synthesized_data/train/10_1017_normal.png,None,None,../data/celeba/synthesized_data/train/10_1017_face.png,../data/celeba/synthesized_data/train/10_1017_light.txt
20,../data/celeba/synthesized_data/train/10_1018_albedo.png,../data/celeba/synthesized_data/train/10_1018_normal.png,None,None,../data/celeba/synthesized_data/train/10_1018_face.png,../data/celeba/synthesized_data/train/10_1018_light.txt
21,../data/celeba/synthesized_data/train/10_1019_albedo.png,../data/celeba/synthesized_data/train/10_1019_normal.png,None,None,../data/celeba/synthesized_data/train/10_1019_face.png,../data/celeba/synthesized_data/train/10_1019_light.txt
22,../data/celeba/synthesized_data/train/10_101_albedo.png,../data/celeba/synthesized_data/train/10_101_normal.png,None,None,../data/celeba/synthesized_data/train/10_101_face.png,../data/celeba/synthesized_data/train/10_101_light.txt
23,../data/celeba/synthesized_data/train/10_1020_albedo.png,../data/celeba/synthesized_data/train/10_1020_normal.png,None,None,../data/celeba/synthesized_data/train/10_1020_face.png,../data/celeba/synthesized_data/train/10_1020_light.txt
24,../data/celeba/synthesized_data/train/10_1021_albedo.png,../data/celeba/synthesized_data/train/10_1021_normal.png,None,None,../data/celeba/synthesized_data/train/10_1021_face.png,../data/celeba/synthesized_data/train/10_1021_light.txt
25,../data/celeba/synthesized_data/train/10_1022_albedo.png,../data/celeba/synthesized_data/train/10_1022_normal.png,None,None,../data/celeba/synthesized_data/train/10_1022_face.png,../data/celeba/synthesized_data/train/10_1022_light.txt
26,../data/celeba/synthesized_data/train/10_1023_albedo.png,../data/celeba/synthesized_data/train/10_1023_normal.png,None,None,../data/celeba/synthesized_data/train/10_1023_face.png,../data/celeba/synthesized_data/train/10_1023_light.txt
27,../data/celeba/synthesized_data/train/10_1024_albedo.png,../data/celeba/synthesized_data/train/10_1024_normal.png,None,None,../data/celeba/synthesized_data/train/10_1024_face.png,../data/celeba/synthesized_data/train/10_1024_light.txt
28,../data/celeba/synthesized_data/train/10_1025_albedo.png,../data/celeba/synthesized_data/train/10_1025_normal.png,None,None,../data/celeba/synthesized_data/train/10_1025_face.png,../data/celeba/synthesized_data/train/10_1025_light.txt
29,../data/celeba/synthesized_data/train/10_1026_albedo.png,../data/celeba/synthesized_data/train/10_1026_normal.png,None,None,../data/celeba/synthesized_data/train/10_1026_face.png,../data/celeba/synthesized_data/train/10_1026_light.txt
30,../data/celeba/synthesized_data/train/10_1027_albedo.png,../data/celeba/synthesized_data/train/10_1027_normal.png,None,None,../data/celeba/synthesized_data/train/10_1027_face.png,../data/celeba/synthesized_data/train/10_1027_light.txt
31,../data/celeba/synthesized_data/train/10_1028_albedo.png,../data/celeba/synthesized_data/train/10_1028_normal.png,None,None,../data/celeba/synthesized_data/train/10_1028_face.png,../data/celeba/synthesized_data/train/10_1028_light.txt
32,../data/celeba/synthesized_data/train/10_1029_albedo.png,../data/celeba/synthesized_data/train/10_1029_normal.png,None,None,../data/celeba/synthesized_data/train/10_1029_face.png,../data/celeba/synthesized_data/train/10_1029_light.txt
33,../data/celeba/synthesized_data/train/10_102_albedo.png,../data/celeba/synthesized_data/train/10_102_normal.png,None,None,../data/celeba/synthesized_data/train/10_102_face.png,../data/celeba/synthesized_data/train/10_102_light.txt
34,../data/celeba/synthesized_data/train/10_1030_albedo.png,../data/celeba/synthesized_data/train/10_1030_normal.png,None,None,../data/celeba/synthesized_data/train/10_1030_face.png,../data/celeba/synthesized_data/train/10_1030_light.txt
35,../data/celeba/synthesized_data/train/10_1031_albedo.png,../data/celeba/synthesized_data/train/10_1031_normal.png,None,None,../data/celeba/synthesized_data/train/10_1031_face.png,../data/celeba/synthesized_data/train/10_1031_light.txt
36,../data/celeba/synthesized_data/train/10_1032_albedo.png,../data/celeba/synthesized_data/train/10_1032_normal.png,None,None,../data/celeba/synthesized_data/train/10_1032_face.png,../data/celeba/synthesized_data/train/10_1032_light.txt
37,../data/celeba/synthesized_data/train/10_1033_albedo.png,../data/celeba/synthesized_data/train/10_1033_normal.png,None,None,../data/celeba/synthesized_data/train/10_1033_face.png,../data/celeba/synthesized_data/train/10_1033_light.txt
38,../data/celeba/synthesized_data/train/10_1034_albedo.png,../data/celeba/synthesized_data/train/10_1034_normal.png,None,None,../data/celeba/synthesized_data/train/10_1034_face.png,../data/celeba/synthesized_data/train/10_1034_light.txt
39,../data/celeba/synthesized_data/train/10_1035_albedo.png,../data/celeba/synthesized_data/train/10_1035_normal.png,None,None,../data/celeba/synthesized_data/train/10_1035_face.png,../data/celeba/synthesized_data/train/10_1035_light.txt
40,../data/celeba/synthesized_data/train/10_1036_albedo.png,../data/celeba/synthesized_data/train/10_1036_normal.png,None,None,../data/celeba/synthesized_data/train/10_1036_face.png,../data/celeba/synthesized_data/train/10_1036_light.txt
41,../data/celeba/synthesized_data/train/10_1037_albedo.png,../data/celeba/synthesized_data/train/10_1037_normal.png,None,None,../data/celeba/synthesized_data/train/10_1037_face.png,../data/celeba/synthesized_data/train/10_1037_light.txt
42,../data/celeba/synthesized_data/train/10_1038_albedo.png,../data/celeba/synthesized_data/train/10_1038_normal.png,None,None,../data/celeba/synthesized_data/train/10_1038_face.png,../data/celeba/synthesized_data/train/10_1038_light.txt
